TAHUN,KUMPULAN UMUR,JOHOR,KEDAH,KELANTAN,MELAKA,NEGERI SEMBILAN,PAHANG,PERAK,PERLIS,PULAU PINANG,SABAH,SARAWAK,SELANGOR,TERENGGANU,WP KUALA LUMPUR,WP LABUAN
2018,0-4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018, 5 - 9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2018, 10 - 14,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2018,15-19,1,1,0,3,0,0,0,0,1,2,0,2,1,0,0
2018,20-24,7,5,3,14,1,3,3,0,0,4,16,13,0,4,0
2018,25-29,17,8,5,19,2,5,2,0,0,19,31,27,5,20,0
2018,30-34,25,7,12,10,1,5,8,2,5,14,30,19,9,20,0
2018,35-39,21,6,5,8,3,5,6,1,1,10,16,24,12,24,0
2018,40-44,15,7,13,18,5,9,6,1,0,3,19,16,12,18,0
2018,45-49,8,2,8,14,3,3,9,1,2,3,9,13,9,6,0
2018,50-54,10,7,1,6,6,3,3,0,0,5,10,5,0,9,0
2018,55-59,8,0,2,5,0,2,3,0,2,2,6,3,0,5,0
2018,60-64,2,0,0,3,1,1,1,0,1,1,3,0,1,2,0
2018,65-69,0,0,0,0,0,0,0,0,0,2,3,0,0,2,0
2018,70-74,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2018,>75,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2019,0-4,2,1,1,0,0,1,0,0,0,2,4,2,0,0,0
2019, 5 - 9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019, 10 - 14,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019,15-19,10,3,5,5,3,3,10,1,6,10,12,19,1,6,0
2019,20-24,54,32,24,15,17,12,33,6,42,49,50,194,9,76,1
2019,25-29,96,42,26,37,31,19,40,3,53,67,82,292,15,135,4
2019,30-34,65,30,8,22,27,22,24,0,53,37,62,188,12,92,3
2019,35-39,40,30,11,14,14,15,31,1,45,16,34,153,6,56,2
2019,40-44,29,15,16,8,9,16,10,1,30,16,22,97,9,36,3
2019,45-49,13,10,3,4,7,7,7,0,17,11,5,58,7,18,1
2019,50-54,8,6,6,4,10,8,4,3,16,6,8,45,4,13,1
2019,55-59,11,6,4,4,4,5,1,1,11,5,4,22,1,9,0
2019,60-64,2,0,1,1,2,0,1,1,9,1,3,4,1,2,0
2019,65-69,4,1,1,0,1,1,2,0,3,1,1,5,0,2,0
2019,70-74,1,0,0,0,1,0,0,0,4,2,2,2,0,2,0
2019,>75,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0
2020,0-4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2020, 5 - 9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020, 10 - 14,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2020,15-19,2,1,0,2,0,0,2,0,0,1,4,1,1,1,0
2020,20-24,23,8,10,7,2,1,8,0,0,9,15,16,0,17,1
2020,25-29,32,11,6,15,3,5,16,3,5,19,29,25,5,18,0
2020,30-34,38,10,5,8,3,10,17,3,2,29,25,24,3,30,0
2020,35-39,28,4,4,6,3,8,14,1,2,10,21,16,8,20,0
2020,40-44,34,7,13,8,2,9,13,0,2,7,13,13,4,18,0
2020,45-49,29,4,6,10,3,6,10,2,1,3,8,10,5,7,0
2020,50-54,18,1,3,5,3,1,4,0,1,7,3,4,5,4,0
2020,55-59,3,1,1,3,1,0,3,0,0,1,4,6,2,3,0
2020,60-64,3,1,0,1,1,1,1,0,0,0,1,2,0,2,0
2020,65-69,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0
2020,70-74,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
2020,>75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,0-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021, 5 - 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021, 10 - 14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2021,15-19,2,0,0,1,1,3,1,0,1,2,2,0,1,3,0
2021,20-24,26,3,2,5,1,2,5,2,1,9,8,17,1,4,0
2021,25-29,45,8,4,15,5,6,23,3,2,17,20,21,2,20,0
2021,30-34,41,4,6,13,2,7,15,2,1,10,21,24,2,25,0
2021,35-39,21,7,3,7,7,2,20,1,2,7,19,14,1,18,0
2021,40-44,20,5,8,4,3,13,11,1,3,5,14,15,5,7,0
2021,45-49,14,3,0,6,2,6,7,0,0,2,5,8,4,8,0
2021,50-54,14,2,3,5,0,3,5,0,2,0,6,6,3,1,0
2021,55-59,5,2,0,0,0,1,2,0,0,1,1,4,0,6,0
2021,60-64,0,0,1,3,1,2,5,0,0,1,0,4,1,0,0
2021,65-69,1,1,0,0,0,0,1,0,2,1,0,1,1,1,0
2021,70-74,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2021,>75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
